,date,amazon_close,amazon_vol,amazon_intra_perc_change,amazon_intra_returns,amazon_pct_change,amazon_pct_returns,amazon_previous_close,amazon_opening_change,amazon_opening_returns,amazon_target,amazon_intra_target,amazon_open_target
905,2013-10-30,361.08,4502200,0.4246870001654681,1,-0.004466501240694809,-1,362.7,-0.02205679625034025,-1,-1,1,-1
906,2013-10-31,364.03,2466800,-0.6358333563707612,-1,0.008169934640522847,1,361.08,0.1800155090284796,1,1,-1,1
907,2013-11-01,359.0,3331000,1.8133085359516437,1,-0.013817542510232594,-1,364.03,0.4395242150372285,1,-1,1,1
908,2013-11-04,358.74,1938400,0.3832055981339541,1,-0.0007242339832869149,-1,359.0,0.31197771587743856,1,-1,1,1
909,2013-11-05,358.89,2007100,-0.5914008632770934,-1,0.0004181301220940181,1,358.74,-0.5463566928694978,-1,1,-1,-1
910,2013-11-06,356.18,2282300,1.1846303232070972,1,-0.007551060213435767,-1,358.89,0.43467357686199176,1,-1,1,1
911,2013-11-07,343.56,4246300,3.456415444275842,1,-0.03543152338705147,-1,356.18,-0.08984221461058824,-1,-1,1,-1
912,2013-11-08,350.31,2656900,-1.2602977308859702,-1,0.019647223192455376,1,343.56,0.6956572359995303,1,1,-1,1
913,2013-11-11,354.38,2261700,-1.0810348270059102,-1,0.011618280951157578,1,350.31,0.07992920556078123,1,1,-1,1
914,2013-11-12,349.53,2343100,0.9801977393127387,1,-0.013685873920650238,-1,354.38,-0.39223432473615505,-1,-1,1,-1
915,2013-11-13,356.22,2773300,-2.5388601036269574,-1,0.019139987983864293,1,349.53,-0.6093897519526209,-1,1,-1,-1
916,2013-11-14,367.4,4159800,-2.8008618036318844,-1,0.03138509909606402,1,356.22,0.32844871147042815,1,1,-1,1
917,2013-11-15,369.17,4491600,-0.41889943693387927,-1,0.004817637452368073,1,367.4,0.0626020685900975,1,1,-1,1
918,2013-11-18,366.18,2737400,1.107270173922428,1,-0.008099249668174546,-1,369.17,0.3006744860091439,1,-1,1,1
919,2013-11-19,364.94,1904800,0.2405554644360602,1,-0.0033863127423671147,-1,366.18,-0.0983123054235659,-1,-1,1,-1
920,2013-11-20,362.57,1771500,1.3576014800304737,1,-0.006494218227653836,-1,364.94,0.7179262344494998,1,-1,1,1
921,2013-11-21,368.92,1964600,-1.3377283340200534,-1,0.01751385939266914,1,362.57,0.4081970378133928,1,1,-1,1
922,2013-11-22,372.31,2965500,-0.6243243243243249,-1,0.009188984061585082,1,368.92,0.292746394882355,1,1,-1,1
923,2013-11-25,376.64,2972300,-0.7543737627735255,-1,0.011630093201901559,1,372.31,0.40557599849587467,1,1,-1,1
