,date,cloudera_close,cloudera_vol,cloudera_intra_perc_change,cloudera_intra_returns,cloudera_pct_change,cloudera_pct_returns,cloudera_previous_close,cloudera_opening_change,cloudera_opening_returns,cloudera_target,cloudera_intra_target,cloudera_open_target
270,2018-05-24,15.93,1294600,1.1173184357541883,1,-0.010559006211180222,-1,16.1,0.062111801242223666,1,-1,1,1
271,2018-05-25,15.88,1408600,0.5635566687539127,1,-0.003138731952291196,-1,15.93,0.25109855618330773,1,-1,1,1
272,2018-05-29,15.86,1465600,-0.6984126984126948,-1,-0.0012594458438287548,-1,15.88,-0.8186397984886697,-1,-1,-1,-1
273,2018-05-30,16.03,2539800,-0.8810572687224705,-1,0.010718789407314189,1,15.86,0.18915510718790124,1,1,-1,1
274,2018-05-31,16.22,2592300,-1.374999999999993,-1,0.011852776044915636,1,16.03,-0.18714909544604574,-1,1,-1,-1
275,2018-06-01,16.63,1503800,-1.5262515262515264,-1,0.02527743526510484,1,16.22,0.9864364981504324,1,1,-1,1
276,2018-06-04,16.91,1733900,-0.9552238805970158,-1,0.016837041491280846,1,16.63,0.7215874924834697,1,1,-1,1
277,2018-06-05,17.1,1600700,-1.0638297872340408,-1,0.011235955056179803,1,16.91,0.05913660555885016,1,1,-1,1
278,2018-06-06,17.18,2940100,-0.526623756582796,-1,0.004678362573099282,1,17.1,-0.05847953216375183,-1,1,-1,-1
279,2018-06-07,16.03,6608500,3.4337349397590375,1,-0.0669383003492432,-1,17.18,-3.3760186263096528,-1,-1,1,-1
280,2018-06-08,16.14,3403600,-0.7490636704119913,-1,0.006862133499688117,1,16.03,-0.062383031815355976,-1,1,-1,-1
281,2018-06-11,15.51,4048100,3.0625000000000013,1,-0.0390334572490707,-1,16.14,-0.867410161090462,-1,-1,1,-1
282,2018-06-12,15.5,3618500,-0.12919896640826598,-1,-0.0006447453255963298,-1,15.51,-0.1934235976789127,-1,-1,-1,-1
283,2018-06-13,15.47,2455200,0.5144694533762062,1,-0.001935483870967647,-1,15.5,0.3225806451612949,1,-1,1,1
284,2018-06-14,15.6,2458700,-0.6451612903225784,-1,0.008403361344537785,1,15.47,0.1939237233354839,1,1,-1,1
285,2018-06-15,15.16,3720000,-0.13210039630118608,-1,-0.028205128205128216,-1,15.6,-2.9487179487179427,-1,-1,-1,-1
286,2018-06-18,15.48,2383100,-2.7206370272063714,-1,0.02110817941952514,1,15.16,-0.5936675461741415,-1,1,-1,-1
287,2018-06-19,15.41,1476300,-0.8507853403141413,-1,-0.004521963824289377,-1,15.48,-1.2919896640826942,-1,-1,-1,-1
288,2018-06-20,15.48,1259200,0.12903225806451338,1,0.00454250486696961,1,15.41,0.5840363400389348,1,1,1,1
289,2018-06-21,15.18,1198900,1.7475728155339778,1,-0.019379844961240345,-1,15.48,-0.19379844961241044,-1,-1,1,-1
290,2018-06-22,14.54,2756400,4.842931937172777,1,-0.04216073781291174,-1,15.18,0.6587615283267434,1,-1,1,1
291,2018-06-25,13.71,2540900,4.7916666666666625,1,-0.05708390646492423,-1,14.54,-0.9628610729023301,-1,-1,1,-1
292,2018-06-26,13.67,2714500,1.2283236994219648,1,-0.0029175784099197966,-1,13.71,0.9482129832239169,1,-1,1,1
293,2018-06-27,13.15,1857600,3.9444850255661,1,-0.03803950256035116,-1,13.67,0.14630577907827047,1,-1,1,1
294,2018-06-28,13.45,2170000,-2.7501909854850988,-1,0.02281368821292773,1,13.15,-0.45627376425855887,-1,1,-1,-1
295,2018-06-29,13.64,1420000,-0.36791758646063805,-1,0.014126394052044633,1,13.45,1.0408921933085544,1,1,-1,1
296,2018-07-02,13.76,1405400,-1.9259259259259243,-1,0.008797653958944274,1,13.64,-1.026392961876837,-1,1,-1,-1
297,2018-07-03,13.86,603000,-0.21691973969630773,-1,0.007267441860465018,1,13.76,0.5087209302325602,1,1,-1,1
298,2018-07-05,14.05,1260900,-0.4288777698356004,-1,0.013708513708513781,1,13.86,0.9379509379509435,1,1,-1,1
299,2018-07-06,14.62,1604400,-3.6879432624113444,-1,0.04056939501779344,1,14.05,0.35587188612098886,1,1,-1,1
300,2018-07-09,14.71,1630900,-0.06802721088436438,-1,0.006155950752394057,1,14.62,0.5471956224350211,1,1,-1,1
301,2018-07-10,14.79,1840900,-0.5438477226376498,-1,0.00543847722637647,1,14.71,0.0,-1,1,-1,-1
302,2018-07-11,14.7,1089900,-0.6849315068493127,-1,-0.006085192697768749,-1,14.79,-1.28465179175118,-1,-1,-1,-1
303,2018-07-12,15.03,1810100,-1.4170040485829898,-1,0.022448979591836782,1,14.7,0.8163265306122517,1,1,-1,1
304,2018-07-13,14.77,1539200,1.5989340439706876,1,-0.017298735861610126,-1,15.03,-0.13306719893545957,-1,-1,1,-1
305,2018-07-16,14.83,862300,0.2689979825151254,1,0.004062288422478133,1,14.77,0.677048070412997,1,1,1,1
306,2018-07-17,14.91,1004900,-1.290760869565214,-1,0.0053944706675657095,1,14.83,-0.741739716790286,-1,1,-1,-1
307,2018-07-18,14.79,1266500,0.738255033557055,1,-0.008048289738430636,-1,14.91,-0.06706908115358676,-1,-1,1,-1
308,2018-07-19,14.82,1259500,-0.8163265306122517,-1,0.0020283975659229903,1,14.79,-0.6085192697768753,-1,1,-1,-1
309,2018-07-20,14.57,778300,1.7532029669588656,1,-0.01686909581646423,-1,14.82,0.0674763832658555,1,-1,1,1
310,2018-07-23,14.68,850200,-0.6858710562414242,-1,0.007549759780370646,1,14.57,0.06863417982154967,1,1,-1,1
311,2018-07-24,14.29,876400,3.5111411208642895,1,-0.026566757493188042,-1,14.68,0.8855585831062723,1,-1,1,1
312,2018-07-25,14.62,785400,-1.8815331010452931,-1,0.02309307207837641,1,14.29,0.41987403778866694,1,1,-1,1
313,2018-07-26,14.61,748600,-0.7586206896551685,-1,-0.0006839945280437965,-1,14.62,-0.8207934336525256,-1,-1,-1,-1
314,2018-07-27,14.13,1110400,3.2854209445585125,1,-0.03285420944558515,-1,14.61,0.0,-1,-1,1,-1
315,2018-07-30,13.45,1359900,4.542228530872964,1,-0.04812455767869794,-1,14.13,-0.28308563340411125,-1,-1,1,-1
316,2018-07-31,13.39,1513100,0.5939123979213071,1,-0.004460966542750855,-1,13.45,0.14869888475837434,1,-1,1,1
317,2018-08-01,13.94,1213300,-4.107542942494391,-1,0.0410754294249438,1,13.39,0.0,-1,1,-1,-1
318,2018-08-02,13.94,814400,-0.6498194945848366,-1,0.0,-1,13.94,-0.6456241032998555,-1,-1,-1,-1
319,2018-08-03,13.58,936700,2.582496413199422,1,-0.0258249641319942,-1,13.94,0.0,-1,-1,1,-1
