,date,fb_close,fb_vol,fb_intra_perc_change,fb_intra_returns,fb_pct_change,fb_pct_returns,fb_previous_close,fb_opening_change,fb_opening_returns,fb_target,fb_intra_target,fb_open_target
1264,2017-05-30,152.38,13226000,-0.26979009014936933,-1,0.0016433313613357647,1,152.13,-0.10517320712548255,-1,1,-1,-1
1265,2017-05-31,151.46,18023900,0.8120497707923908,1,-0.006037537734610798,-1,152.38,0.21000131250819873,1,-1,1,1
1266,2017-06-01,151.53,14530600,0.1449752883031294,1,0.00046216822923539347,1,151.46,0.19146969496896343,1,1,1,1
1267,2017-06-02,153.61,16854400,-1.159038524860072,-1,0.013726654787830972,1,151.53,0.21117930442816155,1,1,-1,1
1268,2017-06-05,153.63,12520400,0.006508721687054742,1,0.0001301998567799778,1,153.61,0.01952997851700587,1,1,1,1
1269,2017-06-06,152.81,13457100,0.39110879342936855,1,-0.005337499186356842,-1,153.63,-0.14320119768274353,-1,-1,1,-1
1270,2017-06-07,153.12,12066700,0.09786651008025424,1,0.0020286630456121113,1,152.81,0.30102741967149266,1,1,1,1
1271,2017-06-08,154.71,17799400,-0.4088785046728942,-1,0.010384012539184972,1,153.12,0.626959247648908,1,1,-1,1
1272,2017-06-09,149.6,35577700,3.3404406538735,1,-0.03302953913774165,-1,154.71,0.03878223773511878,1,-1,1,1
1273,2017-06-12,148.44,33170200,-0.18222312208949873,-1,-0.007754010695187108,-1,149.6,-0.9558823529411811,-1,-1,-1,-1
1274,2017-06-13,150.68,20483400,-0.35298035298035374,-1,0.015090272163837293,1,148.44,1.151980598221509,1,1,-1,1
1275,2017-06-14,150.25,20808800,0.6677244479703761,1,-0.0028537297584284582,-1,150.68,0.3849216883461535,1,-1,1,1
1276,2017-06-15,149.8,18994200,-1.4424053633100997,-1,-0.002995008319467529,-1,150.25,-1.7171381031614061,-1,-1,-1,-1
1277,2017-06-16,150.64,22882400,-0.701918577445005,-1,0.005607476635513864,1,149.8,-0.14018691588785576,-1,1,-1,-1
1278,2017-06-19,152.87,19026500,-0.7646167029200426,-1,0.014803505045140941,1,150.64,0.7103027084439868,1,1,-1,1
1279,2017-06-20,152.25,14743900,0.4120879120879091,1,-0.004055733629881653,-1,152.87,0.00654150585464179,1,-1,1,1
1280,2017-06-21,153.91,15039800,-1.0173273825150846,-1,0.010903119868637123,1,152.25,0.07224958949097776,1,1,-1,1
1281,2017-06-22,153.4,13005500,-0.25488530161428324,-1,-0.0033136248456889783,-1,153.91,-0.5847573257098341,-1,-1,-1,-1
