,date,google_compound,google_sentiment,amazon_compound,amazon_sentiment,fb_compound,fb_neg,fb_neu,fb_pos,fb_sentiment,tsla_compound,tsla_sentiment,em_tweets3_compound,em_tweets3_sentiment
176,2017-07-11,-0.6527,-1,0.2765,1,-0.2732,0.139,1.861,0.0,-1,0.5574,1,4.0876,1
177,2017-07-12,2.6345,1,3.1385,1,1.3088,0.11800000000000001,6.952000000000001,0.931,1,-0.8157,-1,0.2716,1
178,2017-07-13,0.4588,1,0.3795,1,0.0,0.0,3.0,0.0,-1,0.4224000000000001,1,1.9847,1
179,2017-07-14,1.1185,1,0.7942,1,0.4588,0.0,1.75,0.25,1,-0.3182,-1,4.8664,1
180,2017-07-19,1.3857,1,0.8123,1,1.8383,0.231,5.6869999999999985,1.082,1,0.4423,1,0.1655,1
181,2017-07-20,0.7579,1,1.6083999999999998,1,0.7184,0.0,1.6669999999999998,0.33299999999999996,1,0.2035,1,4.0906,1
182,2017-07-21,-0.536,-1,0.6611,1,-0.536,0.333,2.667,0.0,-1,0.4588,1,2.5988,1
183,2017-07-25,2.1087,1,1.2645,1,0.8298,0.0,7.332999999999999,0.667,1,0.0,-1,1.4299,1
184,2017-07-28,-0.3818,-1,-1.0488,-1,0.0,0.0,1.0,0.0,-1,0.0,-1,1.0431,1
185,2017-07-31,-0.030700000000000064,-1,1.0889,1,0.12429999999999995,0.941,6.242999999999999,0.8160000000000001,1,2.1359,1,1.2703,1
186,2017-08-01,1.6222,1,2.543,1,0.4019,0.0,1.8030000000000002,0.19699999999999998,1,0.4588,1,0.6369,1
187,2017-08-05,0.0,-1,0.0,-1,0.0,0.0,1.0,0.0,-1,0.0,-1,1.7698,1
188,2017-08-10,0.25,1,0.6058,1,-0.5423,0.29,1.71,0.0,-1,0.0,-1,0.3804,1
189,2017-08-11,-0.4031,-1,-0.9128,-1,0.9176,0.0,2.321,0.679,1,-0.7547999999999999,-1,2.1648,1
190,2017-08-14,-0.1027,-1,1.972,1,0.29600000000000004,0.0,2.833,0.16699999999999998,1,0.3182,1,3.2545,1
191,2017-08-18,1.2311,1,0.4588,1,0.4588,0.0,2.727,0.273,1,0.0,-1,-0.09950000000000003,-1
192,2017-08-23,0.25,1,2.3578,1,-0.4588,0.33299999999999996,2.667,0.0,-1,0.4939,1,2.211,1
193,2017-08-25,-0.5391,-1,1.9015,1,0.3487,0.14300000000000002,1.642,0.215,1,0.8379000000000001,1,0.5532999999999999,1
194,2017-08-29,1.2167,1,0.13940000000000002,1,-0.0516,0.28600000000000003,1.714,0.0,-1,-0.29600000000000004,-1,0.25,1
195,2017-08-30,-0.6445,-1,1.1884,1,-0.5423,0.39,0.44,0.17,-1,0.6204,1,0.6729999999999999,1
196,2017-08-31,0.4588,1,1.4575999999999998,1,0.4263,0.311,2.253,0.436,1,0.0,-1,0.5688,1
197,2017-09-12,-1.0726,-1,1.5419999999999998,1,-0.1027,0.09699999999999999,2.903,0.0,-1,0.4404,1,0.4019,1
198,2017-09-13,0.539,1,0.8705999999999998,1,-0.7547999999999999,0.655,3.345,0.0,-1,-0.34589999999999993,-1,0.2263,1
199,2017-09-14,0.03789999999999999,1,0.4579,1,-0.5991,0.434,2.438,0.127,-1,0.0,-1,0.5549999999999999,1
200,2017-09-15,-0.7585999999999999,-1,0.8957999999999999,1,1.3749,0.0,2.08,0.92,1,0.0,-1,0.4588,1
201,2017-09-19,-0.68,-1,1.5792000000000002,1,0.0,0.0,3.0,0.0,-1,-0.3182,-1,0.3182,1
202,2017-09-20,2.1682,1,1.9593,1,0.7769999999999999,0.0,1.463,0.537,1,1.5773,1,0.4789,1
203,2017-09-25,0.2749000000000001,1,0.5246,1,-1.4365,1.227,4.421,0.35200000000000004,-1,0.0,-1,0.9499,1
204,2017-09-26,1.6724,1,0.431,1,0.9465,0.6779999999999999,6.391000000000001,0.9309999999999999,1,0.4588,1,1.7412999999999998,1
205,2017-09-27,0.8280999999999998,1,2.5416000000000003,1,1.0337,0.0,2.423,0.5770000000000001,1,-0.5574,-1,0.2263,1
