,date,dji_open,dji_high,dji_low,dji_close,dji_vol,dji_perc_change,dji_return,dji_previous_day_return,dji_previous_perc_change
2106,2018-08-09,25589.789063,25613.310547,25492.689453,25509.230469,214970000,-0.31480757344921106,-1,-1.0,-0.1248089146921983
2107,2018-08-10,25401.189453,25401.189453,25222.880859,25313.140625,234480000,-0.34663269672042885,-1,-1.0,-0.31480757344921106
2108,2018-08-13,25327.189453,25381.390625,25153.929688,25187.699219,219990000,-0.5507529142104561,-1,-1.0,-0.34663269672042885
2109,2018-08-14,25215.689453,25339.509766,25201.869141,25299.919922,219210000,0.33403992049077486,1,-1.0,-0.5507529142104561
2110,2018-08-15,25235.369141,25235.369141,24965.769531,25162.410156,295810000,-0.28911399945190713,-1,1.0,0.33403992049077486
2111,2018-08-16,25294.970703,25607.339844,25294.970703,25558.730469,342430000,1.0427360011479165,1,-1.0,-0.28911399945190713
2112,2018-08-17,25550.800781,25728.160156,25521.660156,25669.320313,284160000,0.4638583855584343,1,1.0,1.0427360011479165
2113,2018-08-20,25727.699219,25790.169922,25716.410156,25758.689453,248570000,0.12045474310083035,1,1.0,0.4638583855584343
2114,2018-08-21,25786.990234,25888.820313,25784.900391,25822.289063,241620000,0.13688619214451045,1,1.0,0.12045474310083035
2115,2018-08-22,25825.060547,25836.160156,25722.429688,25733.599609,200480000,-0.35415575438263525,-1,1.0,0.13688619214451045
2116,2018-08-23,25714.859375,25762.560547,25608.019531,25656.980469,213270000,-0.22507961313710953,-1,-1.0,-0.35415575438263525
2117,2018-08-24,25688.580078,25826.050781,25688.580078,25790.349609,200330000,0.3961664315076658,1,-1.0,-0.22507961313710953
2118,2018-08-27,25882.710938,26067.570313,25882.710938,26049.640625,220510000,0.6449466881574607,1,1.0,0.3961664315076658
2119,2018-08-28,26092.699219,26122.240234,26037.849609,26064.019531,211470000,-0.10991460775783887,-1,1.0,0.6449466881574607
2120,2018-08-29,26082.529297,26167.939453,26035.300781,26124.570313,214960000,0.16118458268092412,1,-1.0,-0.10991460775783887
2121,2018-08-30,26099.009766,26104.369141,25934.800781,25986.919922,240440000,-0.4294792982759876,-1,1.0,0.16118458268092412
2122,2018-08-31,25964.849609,26028.830078,25879.769531,25964.820313,273440000,-0.00011282946152886101,-1,-1.0,-0.4294792982759876
2123,2018-09-04,25916.070313,25971.769531,25805.949219,25952.480469,254600000,0.1404925807047763,1,-1.0,-0.00011282946152886101
2124,2018-09-05,25919.839844,26011.220703,25871.039063,25974.990234,289210000,0.21277288105145792,1,1.0,0.1404925807047763
2125,2018-09-06,25973.019531,26073.679688,25880.839844,25995.869141,262380000,0.08797440733729636,1,1.0,0.21277288105145792
2126,2018-09-07,25951.019531,26002.990234,25818.390625,25916.539063,281350000,-0.132867488920089,-1,1.0,0.08797440733729636
2127,2018-09-10,25991.910156,26039.960938,25854.130859,25857.070313,252170000,-0.5187761968655273,-1,-1.0,-0.132867488920089
2128,2018-09-11,25841.140625,26019.919922,25754.320313,25971.060547,265960000,0.5027638829313517,1,-1.0,-0.5187761968655273
2129,2018-09-12,25989.070313,26145.720703,25929.429688,25998.919922,282770000,0.037899043256941385,1,1.0,0.5027638829313517
2130,2018-09-13,26083.939453,26191.640625,26067.080078,26145.990234,260800000,0.23788884003434177,1,1.0,0.037899043256941385
2131,2018-09-14,26169.560547,26211.109375,26068.289063,26154.669922,228640000,-0.05690055426516139,-1,1.0,0.23788884003434177
2132,2018-09-17,26151.660156,26184.470703,26030.349609,26062.119141,230230000,-0.3423913222559182,-1,-1.0,-0.05690055426516139
2133,2018-09-18,26076.210938,26317.339844,26076.210938,26246.960938,243000000,0.6548113926750442,1,-1.0,-0.3423913222559182
2134,2018-09-19,26287.839844,26464.410156,26280.759766,26405.759766,251330000,0.44857212574244776,1,1.0,0.6548113926750442
2135,2018-09-20,26519.390625,26697.490234,26519.390625,26656.980469,260480000,0.5188273212820035,1,1.0,0.44857212574244776
2136,2018-09-21,26726.25,26769.160156,26680.369141,26743.5,657620000,0.06454328609513119,1,1.0,0.5188273212820035
2137,2018-09-24,26705.25,26709.939453,26548.679688,26562.050781,254850000,-0.5362212261633884,-1,1.0,0.06454328609513119
2138,2018-09-25,26601.580078,26634.849609,26475.580078,26492.210938,234110000,-0.41113775828094207,-1,-1.0,-0.5362212261633884
2139,2018-09-26,26536.859375,26606.089844,26349.339844,26385.279297,262620000,-0.5712057928859527,-1,-1.0,-0.41113775828094207
2140,2018-09-27,26418.269531,26557.009766,26379.949219,26439.929688,226350000,0.08198931036940836,1,-1.0,-0.5712057928859527
2141,2018-09-28,26407.660156,26515.759766,26383.570313,26458.310547,264030000,0.1918018889246085,1,1.0,0.08198931036940836
2142,2018-10-01,26598.359375,26737.980469,26596.050781,26651.210938,238320000,0.19870234195600708,1,1.0,0.1918018889246085
2143,2018-10-02,26648.910156,26824.779297,26627.660156,26773.939453,258290000,0.469172271091345,1,1.0,0.19870234195600708
2144,2018-10-03,26833.470703,26951.810547000005,26789.080078,26828.390625,280130000,-0.018931870782675504,-1,1.0,0.469172271091345
2145,2018-10-04,26784.080078,26793.820313,26471.609375,26627.480469,289600000,-0.5846742114866551,-1,-1.0,-0.018931870782675504
2146,2018-10-05,26632.769531,26676.160156,26301.810547,26447.050781,267100000,-0.6973317205476026,-1,-1.0,-0.5846742114866551
2147,2018-10-08,26399.449219,26529.349609,26223.089844,26486.779297,273020000,0.3308026515081617,1,-1.0,-0.6973317205476026
2148,2018-10-09,26469.189453,26539.939453,26324.160156,26430.570313,282560000,-0.14590223878435316,-1,1.0,0.3308026515081617
2149,2018-10-10,26441.730469,26487.869141,25567.099609,25598.740234,438200000,-3.188105392679614,-1,-1.0,-0.14590223878435316
2150,2018-10-11,25518.390625,25683.640625,24899.769531,25052.830078,522880000,-1.8244118676665213,-1,-1.0,-3.188105392679614
2151,2018-10-12,25407.630859,25467.550781,25000.830078,25339.990234,397510000,-0.2662216929054605,-1,-1.0,-1.8244118676665213
2152,2018-10-15,25332.460938,25482.419922,25243.880859,25250.550781,287320000,-0.323340701878391,-1,-1.0,-0.2662216929054605
2153,2018-10-16,25351.529297,25817.679688,25351.529297,25798.419922,305800000,1.7627758064002998,1,-1.0,-0.323340701878391
2154,2018-10-17,25705.869141,25810.089844,25479.160156,25706.679688,298210000,0.0031531592865232344,1,1.0,1.7627758064002998
2155,2018-10-18,25645.560547,25691.460938,25236.009766,25379.449219,328020000,-1.0376506589212853,-1,1.0,0.0031531592865232344
2156,2018-10-19,25421.089844,25608.710938,25350.019531,25444.339844,350810000,0.0914594934468853,1,-1.0,-1.0376506589212853
2157,2018-10-22,25492.140625,25561.339844,25236.050781,25317.410156,314940000,-0.6854287820326908,-1,1.0,0.0914594934468853
2158,2018-10-23,25038.460938,25307.699219,24768.789063,25191.429688,436430000,0.6109351144975714,1,-1.0,-0.6854287820326908
2159,2018-10-24,25172.880859,25306.230469,24533.189453,24583.419922,496400000,-2.341650684725866,-1,1.0,0.6109351144975714
2160,2018-10-25,24736.539063,25104.289063,24645.560547,24984.550781,439670000,1.0026128447813798,1,-1.0,-2.341650684725866
2161,2018-10-26,24770.25,24916.160156,24445.189453,24688.310547,505310000,-0.3307978441880847,-1,1.0,1.0026128447813798
2162,2018-10-29,24818.980469,25040.580078,24122.230469,24442.919922,443850000,-1.5152135176129153,-1,-1.0,-0.3307978441880847
2163,2018-10-30,24482.039063,24906.679688,24415.689453,24874.640625,470050000,1.6036309761197274,1,-1.0,-1.5152135176129153
2164,2018-10-31,25008.820313,25336.550781,25008.820313,25115.759766,448930000,0.4276069469154854,1,1.0,1.6036309761197274
2165,2018-11-01,25142.080078,25396.470703,25108.109375,25380.740234,383970000,0.9492458669274377,1,1.0,0.4276069469154854
2166,2018-11-02,25443.599609,25578.980469,25078.720703,25270.830078,429480000,-0.6790294363022796,-1,1.0,0.9492458669274377
2167,2018-11-05,25261.470703,25507.349609,25261.470703,25461.699219,334740000,0.7926241443108873,1,-1.0,-0.6790294363022796
2168,2018-11-06,25452.830078,25651.859375,25444.900391,25635.009766,265450000,0.7157541516668753,1,1.0,0.7926241443108873
2169,2018-11-07,25788.460938,26200.140625,25765.880859,26180.300781,361780000,1.5194386510387476,1,1.0,0.7157541516668753
2170,2018-11-08,26139.589844,26277.820313,26081.900391,26191.220703,295650000,0.19751977482482178,1,1.0,1.5194386510387476
2171,2018-11-09,26149.109375,26161.490234,25882.910156,25989.300781,324450000,-0.6111435449223527,-1,1.0,0.19751977482482178
2172,2018-11-12,25959.330078,25966.710938,25340.509766,25387.179688,346910000,-2.204026021784301,-1,-1.0,-0.6111435449223527
2173,2018-11-13,25321.210938,25511.029297,25193.779297,25286.490234,339690000,-0.13712102507662222,-1,-1.0,-2.204026021784301
2174,2018-11-14,25388.080078,25501.289063,24935.820313,25080.5,384240000,-1.21151373815987,-1,-1.0,-0.13712102507662222
2175,2018-11-15,25061.480469,25354.560547,24787.789063,25289.269531,392750000,0.908921012394974,1,-1.0,-1.21151373815987
2176,2018-11-16,25242.349609,25510.230469,25147.800781,25413.220703,354460000,0.6769223017934719,1,1.0,0.908921012394974
2177,2018-11-19,25392.609375,25392.609375,24900.980469,25017.439453,358090000,-1.4774768376871508,-1,1.0,0.6769223017934719
2178,2018-11-20,24618.679688,24707.259766,24368.980469,24465.640625,445920000,-0.6216379795322522,-1,-1.0,-1.4774768376871508
2179,2018-11-21,24541.650391,24669.789063,24463.279297,24464.689453,289370000,-0.31359316416724586,-1,-1.0,-0.6216379795322522
2180,2018-11-23,24336.400391,24408.800781,24268.740234,24285.949219,155940000,-0.2073074538116928,-1,-1.0,-0.31359316416724586
2181,2018-11-26,24364.130859,24673.289063,24364.130859,24640.240234,306280000,1.1332617469422532,1,-1.0,-0.2073074538116928
2182,2018-11-27,24557.019531,24750.730469,24416.029297,24748.730469,308250000,0.7806767338275181,1,1.0,1.1332617469422532
2183,2018-11-28,24832.839844,25368.929688,24832.839844,25366.429688,362160000,2.1487266351815397,1,1.0,0.7806767338275181
2184,2018-11-29,25343.650391,25479.039063,25202.789063,25338.839844,305110000,-0.018981271149910064,-1,1.0,2.1487266351815397
2185,2018-11-30,25307.140625,25549.710938,25250.970703,25538.460938,482250000,0.9140515573359058,1,-1.0,-0.018981271149910064
2186,2018-12-03,25779.570313,25980.210938,25670.509766,25826.429688,388480000,0.18176941830706145,1,1.0,0.9140515573359058
2187,2018-12-04,25752.560547,25773.119141,25008.109375,25027.070313,418900000,-2.817157667393643,-1,1.0,0.18176941830706145
2188,2018-12-06,24737.419922,24951.009766,24242.220703,24947.669922,471690000,0.8499269554502573,1,-1.0,-2.817157667393643
2189,2018-12-07,24918.820313,25095.619141,24284.779297,24388.949219,398230000,-2.1263891602588076,-1,1.0,0.8499269554502573
2190,2018-12-10,24360.949219,24500.810547,23881.369141,24423.259766,389690000,0.25578045600703714,1,-1.0,-2.1263891602588076
2191,2018-12-11,24719.910156,24791.259766,24221.060547,24370.240234,342960000,-1.4145274792397629,-1,1.0,0.25578045600703714
2192,2018-12-12,24509.089844,24828.289063,24509.089844,24527.269531,344330000,0.07417528400979764,1,-1.0,-1.4145274792397629
2193,2018-12-13,24575.859375,24740.960938,24473.289063,24597.380859,299970000,0.08757164366709265,1,1.0,0.07417528400979764
2194,2018-12-14,24408.039063,24431.140625,24033.789063,24100.509766,416940000,-1.2599508555612842,-1,1.0,0.08757164366709265
2195,2018-12-17,23986.830078,24088.080078,23456.880859,23592.980469,466740000,-1.6419410473134084,-1,-1.0,-1.2599508555612842
2196,2018-12-18,23769.130859,23927.769531,23516.019531,23675.640625,408070000,-0.3933262623467,-1,-1.0,-1.6419410473134084
2197,2018-12-19,23693.330078,24057.339844,23162.640625,23323.660156,503550000,-1.5602277973717482,-1,-1.0,-0.3933262623467
2198,2018-12-20,23224.119141,23282.199219,22644.310547,22859.599609,576700000,-1.5695731226097334,-1,-1.0,-1.5602277973717482
2199,2018-12-21,22871.740234,23254.589844,22396.339844,22445.369141,900510000,-1.8641829989227463,-1,-1.0,-1.5695731226097334
2200,2018-12-24,22317.279297,22339.869141,21792.199219,21792.199219,308420000,-2.3527961048127697,-1,-1.0,-1.8641829989227463
2201,2018-12-26,21857.730469,22878.919922,21712.529297,22878.449219,433080000,4.669829520716468,1,-1.0,-2.3527961048127697
2202,2018-12-27,22629.060547,23138.890625,22267.419922,23138.820313,407940000,2.2526775468263067,1,1.0,4.669829520716468
2203,2018-12-28,23213.609375,23381.880859,22981.330078,23062.400391,336510000,-0.6513807549585373,-1,1.0,2.2526775468263067
2204,2018-12-31,23153.939453,23333.179688,23118.300781,23327.460938,288830000,0.7494253206985836,1,-1.0,-0.6513807549585373
2205,2019-01-02,23058.609375,23413.470703,22928.589844,23346.240234,321570000,1.247390310153952,1,1.0,0.7494253206985836
2206,2019-01-03,23176.390625,23176.390625,22638.410156,22686.220703,424240000,-2.114953660952118,-1,1.0,1.247390310153952
2207,2019-01-04,22894.919922,23518.640625,22894.919922,23433.160156,396020000,2.3509155560871795,1,-1.0,-2.114953660952118
2208,2019-01-07,23474.259766,23687.740234,23301.589844,23531.349609,334200000,0.24320188823457686,1,1.0,2.3509155560871795
2209,2019-01-08,23680.320313,23864.650391,23581.449219,23787.449219,317420000,0.45239635521816224,1,1.0,0.24320188823457686
2210,2019-01-09,23844.269531,24084.710938,23703.160156,23879.119141,324570000,0.14615507493190097,1,1.0,0.45239635521816224
2211,2019-01-10,23811.109375,24014.779297,23703.25,24001.919922,338150000,0.801350932436347,1,1.0,0.14615507493190097
2212,2019-01-11,23940.009766,23996.320313,23798.160156,23995.949219,262650000,0.23366512188915306,1,1.0,0.801350932436347
2213,2019-01-14,23880.529297,23964.900391,23765.240234,23909.839844,277560000,0.12273826360992535,1,1.0,0.23366512188915306
2214,2019-01-15,23914.109375,24099.140625,23887.929688,24065.589844,291570000,0.6334355447849425,1,1.0,0.12273826360992535
2215,2019-01-16,24139.910156,24288.609375,24119.720703,24207.160156,302830000,0.27858430112377586,1,1.0,0.6334355447849425
2216,2019-01-17,24147.089844,24474.460938,24088.900391,24370.099609,288590000,0.9235471704488454,1,1.0,0.27858430112377586
2217,2019-01-18,24534.189453,24750.220703,24459.029297,24706.349609,372970000,0.7017152791202168,1,1.0,0.9235471704488454
2218,2019-01-22,24607.759766,24607.759766,24244.310547,24404.480469,338480000,-0.8260780295850721,-1,1.0,0.7017152791202168
